SEGMENTO;TARIFARIO;DETALLE;SEMI;BALANCIN;CHASIS;UP 3500;UP 1500;PICKUP
OP RESTO;CLIENTE BASF;AR005 - Chaco;$ 0;$ 0;$ 45.127;$ 40.525;$ 36.552;$ 0
OP RESTO;CLIENTE BASF;AR006 - Chubut;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR007 - Cordoba Centro;$ 0;$ 0;$ 27.757;$ 24.931;$ 22.487;$ 0
OP RESTO;CLIENTE BASF;AR008 - Cordoba Sur;$ 0;$ 0;$ 19.983;$ 17.948;$ 16.191;$ 0
OP RESTO;CLIENTE BASF;AR009 - Entre Rios Norte;$ 0;$ 0;$ 16.230;$ 14.576;$ 13.150;$ 0
OP RESTO;CLIENTE BASF;AR009A - Entre Rios Sur;$ 0;$ 0;$ 16.230;$ 14.576;$ 13.150;$ 0
OP RESTO;CLIENTE BASF;AR010 - La Pampa;$ 0;$ 0;$ 42.743;$ 38.384;$ 34.621;$ 0
OP RESTO;CLIENTE BASF;AR011 - Mendoza;$ 0;$ 0;$ 47.382;$ 42.551;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;AR012 - Misiones;$ 0;$ 0;$ 49.701;$ 44.637;$ 40.260;$ 0
OP RESTO;CLIENTE BASF;AR013 -  Neuquen;$ 0;$ 0;$ 74.328;$ 66.752;$ 60.208;$ 0
OP RESTO;CLIENTE BASF;AR014 - Río Negro;$ 0;$ 0;$ 62.129;$ 55.796;$ 50.323;$ 0
OP RESTO;CLIENTE BASF;AR015 - Rosario;$ 0;$ 0;$ 10.875;$ 9.769;$ 8.809;$ 0
OP RESTO;CLIENTE BASF;AR016 - Salta / Jujuy;$ 0;$ 0;$ 55.972;$ 50.264;$ 45.336;$ 0
OP RESTO;CLIENTE BASF;AR017 - San Juan;$ 0;$ 0;$ 62.129;$ 55.796;$ 50.323;$ 0
OP RESTO;CLIENTE BASF;AR018 - San Luis;$ 0;$ 0;$ 34.193;$ 30.706;$ 27.698;$ 0
OP RESTO;CLIENTE BASF;AR019 -  Santa Cruz;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR020 - Santa Fé;$ 0;$ 0;$ 23.079;$ 20.724;$ 18.694;$ 0
OP RESTO;CLIENTE BASF;AR020A -  Santa Fé Sur;$ 0;$ 0;$ 10.875;$ 9.769;$ 8.809;$ 0
OP RESTO;CLIENTE BASF;AR021 -  Santiago del Estero;$ 0;$ 0;$ 34.636;$ 31.104;$ 28.056;$ 0
OP RESTO;CLIENTE BASF;AR022 - Tierra Del Fuego;$ 0;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;CLIENTE BASF;AR023 - Tucuman;$ 0;$ 0;$ 47.382;$ 42.551;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;AR024 -  Corrientes;$ 0;$ 0;$ 47.382;$ 42.551;$ 38.378;$ 0
OP RESTO;CLIENTE BASF;Desvio por destino (a partir del 3er dest);$ 0;$ 0;$ 745;$ 701;$ 476;$ 0
OP RESTO;Gral Pico a Cardales;Gral Pico a Cardales;$ 18.750;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;0/50 KMS;$ 6.903;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;50/100 KMS;$ 10.262;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;101/150 KMS;$ 12.842;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;151/200 KMS;$ 16.482;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;201/250 KMS;$ 19.715;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;251/300 KMS;$ 22.888;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;301/350 KMS;$ 25.323;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;351/400 KMS;$ 28.981;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;401/500 KMS;$ 32.064;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;501/600 KMS;$ 37.783;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;601/700 KMS;$ 42.528;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;701/800 KMS;$ 47.858;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;801/900 KMS;$ 54.797;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;901/1000 KMS;$ 60.094;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1001/1100 KMS;$ 61.954;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1101/1200 KMS;$ 67.441;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1201/1300 KMS;$ 72.147;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1301/1400 KMS;$ 74.109;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1401/1500 KMS;$ 80.307;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1501/1600 KMS;$ 85.172;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1601/1700 KMS;$ 90.621;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1701/1800 KMS;$ 93.469;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1801/1900 KMS;$ 98.900;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;1901/2000 KMS;$ 106.343;$ 0;$ 0;$ 0;$ 0;$ 0
OP RESTO;TRANSPORTE ANAN;DIRECTO - BSAS A TUCUMAN;$ 72.750;$ 0;$ 0;$ 0;$ 0;$ 0
